"","gene","ctrl_ccl34b.1_neg_1","ctrl_ccl34b.1_neg_2","ctrl_ccl34b.1_pos_1","ctrl_ccl34b.1_pos_2","ecoli_ccl34b.1_neg_1","ecoli_ccl34b.1_neg_2","ecoli_ccl34b.1_neg_3","ecoli_ccl34b.1_pos_1","ecoli_ccl34b.1_pos_2","ecoli_ccl34b.1_pos_3","pbs_ccl34b.1_neg_1","pbs_ccl34b.1_neg_2","pbs_ccl34b.1_neg_3","pbs_ccl34b.1_neg_4","pbs_ccl34b.1_pos_1","pbs_ccl34b.1_pos_2","pbs_ccl34b.1_pos_3","pbs_ccl34b.1_pos_4"
"2824","ENSDARG00000104069",1.78576303457042,0,53.7532792065347,39.5990982642113,218.266547319149,59.0739669347856,130.935282400478,82.7050857549678,0,58.3396393710439,0,0.989728714439236,1.16836553327334,13.5243790983375,3.07448244778151,33.2265885557004,19.4102796156371,0
"2825","ENSDARG00000104090",28.5722085531267,0,10.9949889286094,0,75.109370695119,132.38262469723,25.9170868256616,55.3828699252016,0,0,57.2403839578152,0,0,0,0.512413741296918,35.1810937648592,39.7910732120561,0
"2826","ENSDARG00000059020",3.57152606914084,6.50672184802583,0,5.65701403774447,0,0,0,0,0,0,0,0,0,46.4215174456448,0,19.5450520915884,0,0
"2827","ENSDARG00000023495",46.429838898831,110.614271416439,17.1033161111701,124.454308830378,60.9862411627035,28.4693816553184,208.146603568595,11.8150122507097,57.5558618157817,6.03513510734937,93.7767992500377,96.0036853006059,1.16836553327334,0.731047518829052,4.61172367167227,128.997343804484,48.5256990390928,77.0690302254716
"2828","ENSDARG00000115316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2829","ENSDARG00000028663",10.7145782074225,16.2668046200646,2.4433308730243,4.52561123019558,0,2.84693816553184,0,0,26.8068397498161,0.670570567483263,17.0503271363705,0,0,69.44951428876,0,9.77252604579422,0.970513980781855,0
"2830","ENSDARG00000115526",0,0,0,0,0,0,0,0,0,0.670570567483263,0,2.96918614331771,0,0,0,0,0,0
"2831","ENSDARG00000112702",16.0718673111338,19.5201655440775,9.77332349209722,2.26280561509779,458.359749370213,607.821298341047,24.8372082079257,204.547399590411,105.650486072805,61.6924922084602,21.9218491753335,5.93837228663541,8.17855873291338,5.11733263180336,6.66137863685994,2.93175781373827,15.5282236925097,1.0854792989503
"2832","ENSDARG00000111123",1.78576303457042,0,0,0,33.381942531164,65.4795778072323,1.34984827216988,16.9840801103952,15.7687292645977,4.69399397238284,0,2.96918614331771,1.16836553327334,1.09657127824358,1.02482748259384,4.88626302289711,1.94102796156371,0
"2833","ENSDARG00000089382",333.937687464669,177.308170358704,133.161532579825,110.877475139792,394.805666474343,545.90039324073,99.6188024861368,632.841593678637,376.872629423886,128.749548956786,259.40854857478,133.613376449297,150.719153792261,74.5668469205633,105.044816965868,133.883606827381,85.4052303088033,44.5046512569625
"2834","ENSDARG00000116751",3.57152606914084,3.25336092401292,1.22166543651215,0,5.77764389962454,7.82907995521255,0.53993930886795,2.95375306267742,1.57687292645977,2.01171170244979,0,3.95891485775694,0,0.365523759414526,0,2.93175781373827,0,0
"2835","ENSDARG00000112308",0,0,0,0,0.641960433291615,3.5586727069148,0,0,1.57687292645977,0.670570567483263,1.21788050974075,0,0,0,0,1.95450520915884,0,0
"2836","ENSDARG00000114355",5.35728910371126,13.0134436960517,4.88666174604861,11.3140280754889,10.2713669326658,64.0561087244664,1.61981792660385,12.553450516379,18.9224751175173,7.37627624231589,24.357610194815,19.7945742887847,21.0305795989201,2.92419007531621,14.3475847563137,22.4768099053267,28.1449054426738,19.5386273811055
"2837","ENSDARG00000086896",78.5735735210985,108.987590954433,52.5316137700225,11.3140280754889,0,99.6428357936143,0,14.0303270477177,65.4402264480806,86.5036032053409,60.8940254870375,0,1.16836553327334,62.504562859884,117.342746756994,24.4313151144856,111.609107789913,5.42739649475152
"2838","ENSDARG00000075952",783.949972176415,375.763186723492,356.726307461548,297.558938385359,677.268257122654,338.073907156906,262.680473764258,476.292681356734,501.445590614208,199.159458542529,506.638292052152,135.592833878175,488.376792908256,282.549866027429,269.017214180882,541.397942937,223.218215579827,595.928135123717
"2839","ENSDARG00000032997",251.792587874429,161.041365738639,59.8616063890954,108.614669524694,352.436277877097,289.675958342865,343.131430785582,79.012894426621,81.9973921759082,210.559158189745,326.391976610521,287.021327187378,269.892438186142,137.071409780447,264.40549050921,321.51610690663,100.933454001313,159.565456945695
"2840","ENSDARG00000102788",0,37.4136506261485,14.6599852381458,0,0,0,0,0,0,0,0,0,0,0,0,0.977252604579422,0,0
"2841","ENSDARG00000098889",0,3.25336092401292,29.3199704762916,1.13140280754889,0,0,0,0,0,0,0,0,0,27.4142819560895,0.512413741296918,0,0,0
"2842","ENSDARG00000115962",0,24.4002069300969,1.22166543651215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2843","ENSDARG00000103525",12.5003412419929,1.62668046200646,0,2.26280561509779,10.9133273659575,27.0459125725525,0.809908963301925,0.738438265669355,22.0762209704368,0,42.6258178409262,0,3.50509659982002,0.365523759414526,0,0,0,22.7950652779564
"2844","ENSDARG00000104647",48.2156019334014,14.6401241580581,52.5316137700225,140.293948136063,145.725018357197,0,206.526785641991,84.9204005519758,0,30.8462461042301,77.944352623408,0.989728714439236,85.2906839289539,63.235610378713,25.6206870648459,12.7042838595325,46.5846710775291,2.17095859790061
"2845","ENSDARG00000114750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2846","ENSDARG00000112476",57.1444171062535,1.62668046200646,24.433308730243,19.2338477283312,0.641960433291615,24.9107089484036,78.2911997858528,0,34.691204382115,38.8930929140293,49.9331008993707,0,1.16836553327334,1.09657127824358,0,27.3630729282238,0,94.4366990086765
"2847","ENSDARG00000086753",173.219014353331,37.4136506261485,65.9699335716562,52.0445291472492,6.41960433291615,104.624977583295,0,598.134995192178,247.569049454184,70.4099095857426,60.8940254870375,119.757174447148,237.178203254488,71.2771330858326,142.451020080543,156.360416732708,145.577097117278,172.591208533098
